Article,Faculty,FacultyID,ResearchArea
,Marko Loncar|Hanspeter Pfister|Evelyn Hu|Anas Chalah,1541|1566|1545|1568,Environment|Electrical Engineering|Computer Science|Bioengineering|Applied Physics|Applied Mathematics
Educating the innovators,Eric Mazur,1561,Applied Physics|Academics
Engineer John Hutchinson elected to the Royal Society,John W. Hutchinson,1539,
Federico Capasso receives prestigious European Physical Society prize,Federico Capasso,1580,Applied Physics
"Federico Capasso to receive Gold Medal, highest honor of SPIE",Federico Capasso,1580,Awards|Applied Physics
"Federico Capasso, terahertz pioneer",Federico Capasso,1580,Applied Physics
From soldier to bioengineer,Kit Parker,1577,Bioengineering|Applied Physics
Harvard scientists design new adaptive material inspired by tears,Joanna Aizenberg|Alison Grinthal,1527|1648,Materials|Bioengineering
Imagining products to change the world,David A. Edwards,1570,Academics
Physicists find right (and left) solution for on-chip optics,Federico Capasso,1580,Optics / Photonics|Applied Physics
Robot hands gain a gentler touch,Robert D. Howe,1555,Robotics|Electrical Engineering|Bioengineering
Robotic insects make first controlled flight,Robert J. Wood|Gu-Yeon Wei,1537|1563,Robotics|Electrical Engineering|Computer Science|Bioengineering
Salil Vadhan named Simons Investigator,Salil P. Vadhan,1521,Computer Science
Vinothan N. Manoharan promoted to full professor with tenure,Vinothan N. Manoharan,1552,Applied Physics
Big data heralds a new kind of analyst,Hanspeter Pfister,1566,Computer Science|Applied Mathematics|AI / Machine Learning
"Buckliball, an engineered buckling structure, advances folding materials",Katia Bertoldi,1598,Materials|Bioengineering|Applied Physics
Chameleon of the sea reveals its secrets,Kit Parker|Evelyn Hu,1577|1545,Bioengineering|Applied Physics
Flipped classroom teaching model gains an online community,Eric Mazur,1561,Academics
Next-generation optical tweezers trap tightly without overheating,Kai Wang,13076,Optics / Photonics|Electrical Engineering|Applied Physics
The flipped classroom will redefine the role of educators,Eric Mazur,1561,Applied Physics|Academics
W-Ink team receives R&D 100 Award,Joanna Aizenberg,1527,Materials
Warming hole delayed climate change over eastern United States,Loretta J. Mickley|Daniel J. Jacob,1608|1559,Environment|Climate
Watermark Ink device identifies unknown liquids instantly,Marko Loncar|Joanna Aizenberg,1541|1527,Materials|Applied Physics
Watermark Ink device wins R&D 100 Award,Marko Loncar|Joanna Aizenberg,1541|1527,Materials|Applied Physics
2016 Science and Cooking lecture series features a world of flavors,Pia Sorensen|Michael P. Brenner,1683|1556,Cooking
2017 Science and Cooking Lecture Series offers fresh perspectives on classic cuisine,Pia Sorensen|Michael P. Brenner,1683|1556,Cooking
2018 Science and Cooking Lecture Series serves up a smorgasbord of innovative presentations,Pia Sorensen|Michael P. Brenner,1683|1556,Cooking
3D-printed heart-on-a-chip with integrated sensors,Kit Parker,1577,Materials|Health / Medicine
4 students receive top honors for engineering ingenuity,Harry R. Lewis,1533,
5 computer science graduate students named 2019 Siebel Scholars,Salil P. Vadhan,1521,Awards
A 3-D model of a human heart ventricle,Kit Parker,1577,Bioengineering
A battery inspired by vitamins,Michael J. Aziz,1584,Environment
A better understanding of soft artificial muscles,L Mahadevan,1558,Applied Mathematics|Robotics
A better way to train machine learning models,Stuart M. Shieber,1557,Computer Science|AI / Machine Learning
"A career in circuitry, trailer to tenure",Gu-Yeon Wei,1563,Environment|Electrical Engineering
A chameleon in the physics lab,Federico Capasso,1580,Materials|Applied Physics
A clean way to extract rare earth metals,David Clarke,1731,Environment
A clearer path to clean air in China,Loretta J. Mickley,1608,Climate
A cockroach-inspired robot,Robert J. Wood,1537,Robotics
A conjecture for a better Turing test,Barbara J. Grosz,1523,Computer Science|AI / Machine Learning
A data-driven war on crime,Kit Parker,1577,Academics
A decade of growth at SEAS,Ariel Amir,1795,Academics|Events
A gentle grip on gelatinous creatures,Robert J. Wood,1537,Robotics
"A globetrotter, by design",William Marks [REMOVED 2020-11-05]|Maurice Smith,1756|1532,Health / Medicine|Climate|Bioengineering
A goldilocks zone for planet size,Robin Wordsworth,1807,Planetary Science
A material way to make Mars habitable,Robin Wordsworth,1807,Materials|Planetary Science
A metal that behaves like water,Philip Kim,1799,Applied Physics
"A multifunctional, multiscale, reconfigurable surface",Joanna Aizenberg,1527,Materials
A new spin on antifreeze,Joanna Aizenberg,1527,Materials
A new spin on nanofibers,Kit Parker,1577,
A new spin on superconductivity,Amir Yacoby,1762,Applied Physics
"A new technique for structural color, inspired by birds",Federico Capasso,1580,
A new technique to make drugs more soluble,David A. Weitz,1544,Applied Physics
A new way to combine soft materials,Zhigang Suo,1553,Materials
A one-way street for acoustic waves,Marko Loncar,1541,Applied Physics
A painless adhesive,Zhigang Suo,1553,Materials
A perfect storm of fire and ice may have led to snowball Earth,Robin Wordsworth,1807,
A pesky bacterial slime reveals its survival secrets,Joanna Aizenberg|Agnese Seminara [REMOVED 2020-11-05],1527|13651,Bioengineering
A photosynthetic engine for artificial cells,Kit Parker,1577,Bioengineering
"A platform for stable quantum computing, a playground for exotic physics",Jenny Hoffman,1877,Applied Physics|Quantum Engineering
A precise chemical fingerprint of the Amazon,Scot T. Martin,1567,Climate|Environment
A reconfigurable soft actuator,David Clarke,1731,Materials
"A safe, wearable soft sensor",Robert J. Wood,1537,Bioengineering|Materials
A science is born,Harry R. Lewis,1533,Computer Science
A self-organizing thousand-robot swarm,Radhika Nagpal,1569,Robotics|AI / Machine Learning
"A soft, on-the-fly solution to a hard, underwater problem",Robert J. Wood,1537,Environment|Robotics
A solid vaccine for liquid tumors,David Mooney,1579,Bioengineering|Health / Medicine
A sound solution,Fawwaz Habbal,1549,Academics
A strange new world of light,Federico Capasso,1580,Optics / Photonics
A toolkit for transformable materials,Katia Bertoldi,1598,Materials
"A watery Mars, a changed outlook",Robin Wordsworth,1807,Planetary Science
A way forward on climate,Michael B. McElroy,1525,Climate
A zero-index waveguide,Eric Mazur,1561,Optics / Photonics
Accelerator Fund launches wave of Harvard tech start-ups,Robert D. Howe,1555,Entrepreneurship
Actuators inspired by muscle,Zhigang Suo,1553,Robotics
Adding a '3D print' button to animation software,Hanspeter Pfister,1566,Materials|Computer Science
Adding a personal touch to ads,Robert D. Howe,1555,AI / Machine Learning|Entrepreneurship
"Adjusting Earth’s thermostat, with caution",David Keith,1688,Climate
Advancing ingenuity,Stephen Chong|David A. Weitz|Charles M. Lieber,1605|1544|1733,
Advancing science and technology,Robert M. Westervelt|Richard McCullough,1585|1765,Materials|Electrical Engineering|Computer Science|Awards|Applied Physics|Applied Mathematics|AI / Machine Learning
Advising on climate change,Michael J. Aziz,1584,Environment|Climate
Agricultural fires can double Delhi pollution during peak burning season,Loretta J. Mickley,1608,Climate
AHA notes work at SEAS among top research in 2009,Kit Parker,1577,Health / Medicine|Bioengineering|Applied Physics
AI expert Milind Tambe joins Harvard University,Milind Tambe,3141,Academics|Computer Science
Airborne dust threatens human health in Southwest,Loretta J. Mickley,1608,Climate|Environment|Health / Medicine
Airborne pollutants lead a double life,Scot T. Martin,1567,Environment|Climate|Applied Physics
"Airmail, to your door",Robert J. Wood,1537,Robotics|Electrical Engineering
Airway muscle-on-a-chip mimics asthma,Kit Parker,1577,Health / Medicine|Bioengineering
Aizenberg and Brenner elected to American Academy of Arts and Sciences,Michael P. Brenner|Joanna Aizenberg,1556|1527,Awards|Applied Physics|Applied Mathematics
Aizenberg named a new director of the Kavli Institute at Harvard,Joanna Aizenberg,1527,
Alaska tundra source of early-winter carbon emissions,Steven C. Wofsy,1531,
Alexander Rush awarded NSF CAREER grant,Alexander Sasha Rush,1819,AI / Machine Learning|Awards|Computer Science
American Academy of Arts and Sciences awards Rumford Prize to Federico Capasso,Federico Capasso,1580,
Amir Yacoby named AAAS Fellow,Amir Yacoby,1762,Applied Physics
Amount of water in stem cells can determine its fate as fat or bone,David A. Weitz,1544,Bioengineering
Amping up wind energy in the US and China,Michael B. McElroy,1525,Environment|Climate
An Arctic mercury meltdown,Daniel J. Jacob,1559,Environment
An ear for innovation,Joanna Aizenberg,1527,Bioengineering
An educational vehicle,Evelyn Hu,1545,Electrical Engineering
An introduction to rebuilding the body,Anas Chalah,1568,Materials|Bioengineering
An ocean of concern,Steven C. Wofsy,1531,Environment|Climate
An unobstructed view into the human body,Joanna Aizenberg,1527,Materials
Applied mathematicians in Namibia,L Mahadevan,1558,Applied Mathematics
Applied physicists create building blocks for new class of optical circuits,Vinothan N. Manoharan|Federico Capasso,1552|1580,Applied Physics
Applied physicists discover that migrating cells flow like glass,David A. Weitz,1544,Bioengineering|Applied Physics
Applied physics as art,Federico Capasso,1580,Applied Physics
Artificial Intelligence in 2030,Barbara J. Grosz,1523,AI / Machine Learning
Artificial jellyfish swims in a heartbeat,Kit Parker,1577,Health / Medicine|Bioengineering|Applied Physics
"Artificial muscle for soft robotics: low voltage, high hopes",Robert J. Wood|David Clarke,1537|1731,Robotics
Artificial muscles for soft robots,Robert J. Wood|David Clarke,1537|1731,Robotics
Artificial muscles give soft robots superpowers,Robert J. Wood,1537,Robotics
Asking the hard questions about climate change,David Keith,1688,Environment|Climate
Assembly not required,Vinothan N. Manoharan,1552,Materials|Applied Physics
"Atmospheric scientists release first ""bottom-up"" estimates of China's CO2 emissions",Michael B. McElroy|Chris Nielsen,1525|1616,Environment|Climate
Atop the Amazon rainforest,Scot T. Martin,1567,Environment|Climate
Australian wildfires will claim victims even after they’re out,Loretta J. Mickley,1608,Climate|Environment
Baby steps,Maurice Smith,1532,Bioengineering
Barbara Grosz awarded Lifetime Achievement Award of Association for Computational Linguistics,Barbara J. Grosz,1523,
Barbara Grosz wins graduate mentoring award,Barbara J. Grosz,1523,
Bertoldi named Harvard College Professor,Katia Bertoldi,1598,Awards
Better vaccines are in our blood ,Samir Mitragotri,1884,Bioengineering
Beyond Average,David A. Weitz,1544,Bioengineering
Bioengineer Maurice Smith named 2007 McKnight Scholar,Maurice Smith,1532,Bioengineering|Awards
Bioengineer/soldier to head ROTC implementation committee,Kit Parker,1577,Bioengineering
Bioinspired coating for medical devices repels blood and bacteria,Joanna Aizenberg,1527,Materials|Bioengineering
Bioinspired fibers change color when stretched,Joanna Aizenberg,1527,Bioengineering
Biology without borders,Vinothan N. Manoharan,1552,Academics|Applied Mathematics|Bioengineering
Black silicon makes solar cells cheaper,Eric Mazur,1561,Materials|Environment|Applied Physics
Blue skies ahead,James G. Anderson,1732,
Bolstering an already-strong program,Scott Kuindersma|Madhu Sudan|James Mickens|Boaz Barak,1821|1832|1822|1835,Academics
Boston’s natural gas infrastructure releases high levels of heat-trapping methane,Steven C. Wofsy,1531,Environment|Climate
Breaking the 'brogrammer' code,Margo I. Seltzer,1546,Diversity / Inclusion|Computer Science
Bridging the terahertz gap,Federico Capasso,1580,Optics / Photonics
"Brighter inks, without pigment",Vinothan N. Manoharan,1552,Applied Physics
Bringing additional expertise to class via remote instruction,Elena Leah Glassman,2929,Academics
Broadband achromatic metalens focuses light regardless of polarization,Federico Capasso,1580,Optics / Photonics
"Bubble, bubble, without toil or trouble",Michael P. Brenner,1556,Applied Physics
Buffering the sun,David Keith,1688,Environment|Climate|Applied Physics
Building a better microscope​,Federico Capasso,1580,Applied Physics
"Building a robot, developing a nation",Evelyn Hu,1545,Robotics
Building a startup-friendly campus culture,Margo I. Seltzer|Harry R. Lewis,1546|1533,Entrepreneurship|Awards
Built for speed: Designing exascale computers,Hanspeter Pfister|Efthimios Kaxiras,1566|1551,Environment|Computer Science
Bursts of methane may have warmed early Mars,Robin Wordsworth,1807,
Calculating solar geoengineering’s technical costs,Gernot Wagner,2064,Climate|Geoengineering
Calmon and Wordsworth awarded NSF CAREER Grants,Robin Wordsworth,1807,Awards|Electrical Engineering|Environment|Planetary Science
Camera brings unseen world to light,Federico Capasso,1580,Optics / Photonics|Applied Physics
Capasso awarded honorary doctorate from Université Paris Diderot,Federico Capasso,1580,Applied Physics
Capasso awarded prestigious Fermi Prize,Federico Capasso,1580,Applied Physics|Awards
Capasso elected to the National Academy of Inventors,Federico Capasso,1580,Applied Physics|Awards
Capitol gains,Benjamin Franta,1932,Optics / Photonics|Awards|Applied Physics
Carbon-negative power generation for China,Michael B. McElroy,1525,Climate
Catching and releasing tiny molecules,Joanna Aizenberg,1527,Environment|Applied Physics
Celebration for computer scientist Michael Rabin to mark amazing achievements,Michael O. Rabin,1547,Computer Science
Cellular division strategy shared across all domains of life,Ariel Amir,1795,
Certain chips may be better suited for search,Vijay Janapa Reddi,2728,Environment|Electrical Engineering
Chain reactions,Kit Parker,1577,Bioengineering
"Change the shape, change the sound",Hanspeter Pfister,1566,Computer Science
Changing the color of light,Marko Loncar,1541,Optics / Photonics
Charles Lieber elected to National Academy of Medicine,Charles M. Lieber,1733,
China may be on track to meet its CO2 emissions goals early,Michael B. McElroy,1525,Climate
China’s war on particulate air pollution is causing more severe ozone pollution,Daniel J. Jacob,1559,Climate
Clearing the air in China,Chris Nielsen,1616,Environment|Climate
"Climate engineering, no longer on the fringe",David Keith,1688,Climate
Climate engineers weigh the risks of “planet hacking” projects,David Keith,1688,Environment|Climate
Climate expert Jim Anderson wins Smithsonian American Ingenuity Award,James G. Anderson,1732,Environment|Climate
Climate scientist Zhiming Kuang wins Meisinger Award,Zhiming Kuang,1572,Environment|Climate
Climate scientists consider how Kudzu increases ozone pollution,Loretta J. Mickley,1608,Environment|Climate
Closing the gender gap in computer science,Margo I. Seltzer,1546,Diversity / Inclusion|Computer Science
Cockroach inspires robotic hand to get a grip,Robert D. Howe,1555,Robotics|Bioengineering
Coding creativity,David J. Malan,1543,Computer Science|Events
Coding for uncertainty increases security,Milind Tambe,3141,AI / Machine Learning|Computer Science
Cold atoms and nanotubes come together for the first time,Lene V. Hau,1741,Applied Physics
Collaborative “metasurfaces” grant to merge classical and quantum physics,Marko Loncar|Federico Capasso,1541|1580,Optics / Photonics|Electrical Engineering|Awards|Applied Physics
"Collecting degrees, heading abroad",Harry R. Lewis,1533,Awards
Compact depth sensor inspired by spiders,Todd Zickler|Federico Capasso,1534|1580,Applied Physics|Computer Science|Electrical Engineering
Companies now taking orders for coronavirus test swabs,Kit Parker,1577,Health / Medicine
Computational problems of cosmic proportions,Pavlos Protopapas,1668,Computer Science|Planetary Science
Computational science as a force for change,Sadasivan Shankar|Hanspeter Pfister|Efthimios Kaxiras,2417|1566|1551,Computer Science|Applied Mathematics
Computer scientist Margo Seltzer named 2011 ACM Fellow,Margo I. Seltzer,1546,Computer Science
Computer scientist Radhika Nagpal wins Borg Early Career Award,Radhika Nagpal,1569,Computer Science
"Computer scientist Yiling Chen named among ""AI's 10 to Watch""",Yiling Chen,1519,Computer Science|AI / Machine Learning
Computer Scientist Yiling Chen wins NSF CAREER Award,Yiling Chen,1519,Computer Science|Awards
Computer scientists identify Yelp security leak,Michael D. Mitzenmacher,1526,Computer Science
"Controlling behavior, remotely",Sharad Ramanathan,1588,Bioengineering|Applied Physics
Controlling light with light,Joanna Aizenberg,1527,Materials|Optics / Photonics
Controlling the uncontrollable,Katia Bertoldi,1598,Robotics
Counting the twists in a helical light beam,Federico Capasso,1580,Optics / Photonics|Applied Physics
"Counting votes, in the precinct and on the Web",Yiling Chen,1519,Computer Science|Applied Mathematics|AI / Machine Learning
Creating a new vision for multifunctional materials,Joanna Aizenberg,1527,Bioengineering
Creating a slippery slope on the surface of medical implants,Joanna Aizenberg,1527,Materials
Creativity in the kitchen,Michael P. Brenner|David A. Weitz,1556|1544,Cooking
Crime probe,Kit Parker,1577,Academics
CS grad student Elif Yamangil wins Google Fellowship,Stuart M. Shieber,1557,Computer Science
CS shines at Harvard Commencement,Michael O. Rabin,1547,
"Curved surfaces dramatically alter the shape of crystals, study finds",Vinothan N. Manoharan|David R. Nelson,1552|1627,Applied Physics
Cutting surgical robots down to size,Robert J. Wood,1537,Robotics
Cyborg organoids offer rare view into early stages of development,Jia Liu,2715,Bioengineering
Data to Make a Difference,Hanspeter Pfister,1566,Academics
David A. Edwards elected to National Academy of Inventors,David A. Edwards,1570,Bioengineering|Awards
David C. Bell appointed Gordon McKay Professor of the Practice of Electron Microscopy,David C. Bell,1617,
David Mooney and Rob Howe appointed associate deans at SEAS,Robert D. Howe,1555,
David Parkes and Salil Vadhan named 2018 ACM Fellows,David Parkes|Salil P. Vadhan,1727|1521,Awards|Computer Science
David Sengeh ’10 wins 2014 Lemelson-MIT student prize,David A. Edwards,1570,Health / Medicine|Bioengineering
David Weitz elected to the National Academy of Engineering,David A. Weitz,1544,
David Weitz elected to the National Academy of Sciences,David A. Weitz,1544,Awards|Applied Physics
Deciphering Disorder,Prineha Narang,1889,Materials|Quantum Engineering
Delivering insulin in a pill,Samir Mitragotri,1884,Bioengineering|Health / Medicine
Demba Ba and Shmuel Rubinstein named Alfred P. Sloan Research Fellows,Shmuel Rubinstein|Demba Ba,1592|1802,
"Design Solutions Workshop emphasizes teamwork, process, and context",Woodward Yang,1564,
Designing a cleaner future,David A. Edwards|Anas Chalah,1570|1568,Environment
Designing in the human context,Gu-Yeon Wei,1563,
Developing interest in computer science,Jelani Nelson,1687,Computer Science|Entrepreneurship
"Digging into diamonds, applied physicists advance quantum science",Marko Loncar,1541,Electrical Engineering|Applied Physics
Digging into geothermal energy,Woodward Yang|William Marks [REMOVED 2020-11-05]|Robert D. Howe|Kit Parker|Barbara J. Grosz,1564|1756|1555|1577|1523,Environment|Academics
Direct control of dendritic cells for tracking and immune modulation,David Mooney,1579,Bioengineering|Health / Medicine
Dive of the RoboBee,Robert J. Wood,1537,Robotics
Donhee Ham named an IEEE Distinguished Lecturer,Donhee Ham,1538,Electrical Engineering|Applied Physics
Drawing inspiration from plants and animals to restore tissue,Kit Parker,1577,Bioengineering|Materials
Driving toward cross-cultural collaboration,Evelyn Hu,1545,
Drones over the Amazon,Scot T. Martin,1567,Environment
Dwork awarded Gödel Prize,Cynthia Dwork,1865,
Dwork awarded IEEE Hamming Medal,Cynthia Dwork,1865,Awards
Eddie Kohler approved for promotion to tenured full professor,Eddie Kohler,1685,
Electrons that flow like water are just the beginning,Prineha Narang,1889,Materials|Quantum Engineering
Elegant entanglement,Amir Yacoby,1762,Applied Physics
Eliminating entanglements,David A. Weitz,1544,Materials
Empowering electrical engineers,Todd Zickler,1534,Academics|Electrical Engineering
Encourage More Hackathons,Jonathan Zittrain,1639,Computer Science|Academics
Engineer Robert J. Wood to receive NSF’s Alan T. Waterman Award,Robert J. Wood,1537,Electrical Engineering|Awards
Engineering heart valves for the many,Kit Parker,1577,
Engineering meets art,Henry H. Leitner|Fawwaz Habbal,1528|1549,Environment|Electrical Engineering|Computer Science|Bioengineering|Applied Physics|Applied Mathematics|Academics
Engineering on the brain,Jia Liu,2715,Academics|Bioengineering
Engineers create vibrant colors in vertical silicon nanowires,Kwanyong Seo [REMOVED 2020-11-05],13566,Electrical Engineering
Environmental impact of electric vehicles in China? It depends on how they are charged,Michael B. McElroy,1525,Climate
Eric Mazur among laser pioneers,Eric Mazur,1561,Applied Physics
Eric Mazur awarded honorary degree from Polytechnique Montréal and the Université de Montréal,Eric Mazur,1561,Applied Physics
Eric Mazur elected to leadership of Optical Society,Eric Mazur,1561,Optics / Photonics
Eric Mazur selected to receive Minerva Prize for Advancements in Higher Education,Eric Mazur,1561,Academics
Eric Mazur wins special grant from Dreyfus Foundation,Eric Mazur,1561,Applied Physics|Academics
Ethics and genetics in the digital age,Jonathan Zittrain,1639,Ethics|Computer Science|Awards
Evelyn Hu named Harvard College Professor,Evelyn Hu,1545,
Everything’s negotiable,Pavlos Protopapas,1668,Computer Science
Evidence shows increased risk of ozone loss over the United States in summer,Steven C. Wofsy|James G. Anderson,1531|1732,Climate
"Evoking sustainability, striking photo wins top honors",Joanna Aizenberg,1527,
Experimental 'blood test' accurately screens for PTSD,Frank J. Doyle,1824,AI / Machine Learning|Computer Science|Health / Medicine
Explaining crocodiles in Wyoming,Eli Tziperman,1571,Environment|Climate
Exploring Earth’s deep subsurface with magnetic resonance chip,Donhee Ham,1538,Electrical Engineering
Exporting America's future,Venkatesh Narayanamurti,1583,
Eyeing the future of surgery with lasers,Eric Mazur,1561,Applied Physics
Federico Capasso elected into the Academia Europaea,Federico Capasso,1580,
Federico Capasso named Balzan Prize winner,Federico Capasso,1580,
Federico Capasso receives Humboldt Research Award,Federico Capasso,1580,Applied Physics
Federico Capasso receives the 2011 Jan Czochralski Award,Federico Capasso,1580,Applied Physics
Feeding culinary curiosity,Michael P. Brenner,1556,Cooking
Femtosecond laser research wins SPIE Green Photonics Award,Eric Mazur|Benjamin Franta,1561|1932,Environment|Applied Physics
Finale Doshi-Velez and Na Li receive Air Force Young Investigator Awards,Na Li|Finale Doshi-Velez,1764|1695,Awards
