Title,Incorrect Collaboration,Both Marked Incorrect,Number of Joint Publications,Google Scholar
Ann Pearson,Daniel P. Schrag,True,2,https://scholar.google.com/scholar?q=Ann+Pearson+Daniel+Schrag+harvard
Ariel Procaccia,Finale Doshi-Velez,False,1,https://scholar.google.com/scholar?q=Ariel+Procaccia+Finale+Doshi-Velez+harvard
Cynthia Friend,Efthimios Kaxiras,True,44,https://scholar.google.com/scholar?q=Cynthia+Friend+Efthimios+Kaxiras+harvard
Cynthia Friend,Eric Mazur,False,6,https://scholar.google.com/scholar?q=Cynthia+Friend+Eric+Mazur+harvard
Cynthia Friend,Scot T. Martin,False,3,https://scholar.google.com/scholar?q=Cynthia+Friend+Scot+Martin+harvard
Cynthia Friend,Joost J. Vlassak,True,1,https://scholar.google.com/scholar?q=Cynthia+Friend+Joost+Vlassak+harvard
Cynthia Friend,Michael J. Aziz,True,1,https://scholar.google.com/scholar?q=Cynthia+Friend+Michael+Aziz+harvard
Daniel P. Schrag,Ann Pearson,True,2,https://scholar.google.com/scholar?q=Ann+Pearson+Daniel+Schrag+harvard
Daniel P. Schrag,Daniel J. Jacob,False,2,https://scholar.google.com/scholar?q=Daniel+Jacob+Daniel+Schrag+harvard
Daniel P. Schrag,Steven C. Wofsy,False,1,https://scholar.google.com/scholar?q=Daniel+Schrag+Steven+Wofsy+harvard
David Parkes,Milind Tambe,False,2,https://scholar.google.com/scholar?q=David+Parkes+Milind+Tambe+harvard
David Parkes,Stuart M. Shieber,False,1,https://scholar.google.com/scholar?q=David+Parkes+Stuart+Shieber+harvard
David Parkes,Finale Doshi-Velez,False,1,https://scholar.google.com/scholar?q=David+Parkes+Finale+Doshi-Velez+harvard
Doeke Romke Hekstra,Efthimios Kaxiras,False,0,https://scholar.google.com/scholar?q=Doeke+Hekstra+Efthimios+Kaxiras+harvard
Doeke Romke Hekstra,Amir Yacoby,False,0,https://scholar.google.com/scholar?q=Amir+Yacoby+Doeke+Hekstra+harvard
Doeke Romke Hekstra,David A. Weitz,False,0,https://scholar.google.com/scholar?q=David+Weitz+Doeke+Hekstra+harvard
Doeke Romke Hekstra,Jennifer Lewis,False,0,https://scholar.google.com/scholar?q=Doeke+Hekstra+Jennifer+Lewis+harvard
Doeke Romke Hekstra,Kit Parker,False,0,https://scholar.google.com/scholar?q=Doeke+Hekstra+Kit+Parker+harvard
Efthimios Kaxiras,Cynthia Friend,True,44,https://scholar.google.com/scholar?q=Cynthia+Friend+Efthimios+Kaxiras+harvard
Efthimios Kaxiras,Joost J. Vlassak,True,8,https://scholar.google.com/scholar?q=Efthimios+Kaxiras+Joost+Vlassak+harvard
Efthimios Kaxiras,Zhigang Suo,False,4,https://scholar.google.com/scholar?q=Efthimios+Kaxiras+Zhigang+Suo+harvard
Efthimios Kaxiras,Hanspeter Pfister,False,4,https://scholar.google.com/scholar?q=Efthimios+Kaxiras+Hanspeter+Pfister+harvard
Efthimios Kaxiras,Boris Kozinsky,False,1,https://scholar.google.com/scholar?q=Boris+Kozinsky+Efthimios+Kaxiras+harvard
Efthimios Kaxiras,Joanna Aizenberg,True,1,https://scholar.google.com/scholar?q=Efthimios+Kaxiras+Joanna+Aizenberg+harvard
Efthimios Kaxiras,Prineha Narang,False,1,https://scholar.google.com/scholar?q=Efthimios+Kaxiras+Prineha+Narang+harvard
Federico Capasso,Efthimios Kaxiras,False,1,https://scholar.google.com/scholar?q=Efthimios+Kaxiras+Federico+Capasso+harvard
Federico Capasso,Amir Yacoby,False,1,https://scholar.google.com/scholar?q=Amir+Yacoby+Federico+Capasso+harvard
Federico Capasso,David A. Weitz,False,1,https://scholar.google.com/scholar?q=David+Weitz+Federico+Capasso+harvard
Federico Capasso,Jennifer Lewis,True,1,https://scholar.google.com/scholar?q=Federico+Capasso+Jennifer+Lewis+harvard
Federico Capasso,Kit Parker,False,1,https://scholar.google.com/scholar?q=Federico+Capasso+Kit+Parker+harvard
Gu-Yeon Wei,Radhika Nagpal,False,1,https://scholar.google.com/scholar?q=Gu-Yeon+Wei+Radhika+Nagpal+harvard
James Mickens,Stephanie Gil,False,1,https://scholar.google.com/scholar?q=James+Mickens+Stephanie+Gil+harvard
Jennifer Lewis,Robert J. Wood,False,4,https://scholar.google.com/scholar?q=Jennifer+Lewis+Robert+Wood+harvard
Jennifer Lewis,Conor J Walsh,False,2,https://scholar.google.com/scholar?q=Conor+Walsh+Jennifer+Lewis+harvard
Jennifer Lewis,Joost J. Vlassak,True,2,https://scholar.google.com/scholar?q=Jennifer+Lewis+Joost+Vlassak+harvard
Jennifer Lewis,David A. Weitz,False,1,https://scholar.google.com/scholar?q=David+Weitz+Jennifer+Lewis+harvard
Jennifer Lewis,Federico Capasso,True,1,https://scholar.google.com/scholar?q=Federico+Capasso+Jennifer+Lewis+harvard
Jennifer Lewis,Kit Parker,False,1,https://scholar.google.com/scholar?q=Jennifer+Lewis+Kit+Parker+harvard
Joanna Aizenberg,Efthimios Kaxiras,True,1,https://scholar.google.com/scholar?q=Efthimios+Kaxiras+Joanna+Aizenberg+harvard
Joanna Aizenberg,David Mooney,False,1,https://scholar.google.com/scholar?q=David+Mooney+Joanna+Aizenberg+harvard
Joanna Aizenberg,Michael J. Aziz,True,1,https://scholar.google.com/scholar?q=Joanna+Aizenberg+Michael+Aziz+harvard
Joost J. Vlassak,Efthimios Kaxiras,True,8,https://scholar.google.com/scholar?q=Efthimios+Kaxiras+Joost+Vlassak+harvard
Joost J. Vlassak,Kit Parker,False,3,https://scholar.google.com/scholar?q=Joost+Vlassak+Kit+Parker+harvard
Joost J. Vlassak,Jennifer Lewis,True,2,https://scholar.google.com/scholar?q=Jennifer+Lewis+Joost+Vlassak+harvard
Joost J. Vlassak,Michael J. Aziz,False,2,https://scholar.google.com/scholar?q=Joost+Vlassak+Michael+Aziz+harvard
Joost J. Vlassak,Joanna Aizenberg,False,2,https://scholar.google.com/scholar?q=Joanna+Aizenberg+Joost+Vlassak+harvard
Joost J. Vlassak,Conor J Walsh,False,1,https://scholar.google.com/scholar?q=Conor+Walsh+Joost+Vlassak+harvard
Joost J. Vlassak,Scot T. Martin,False,1,https://scholar.google.com/scholar?q=Joost+Vlassak+Scot+Martin+harvard
Joost J. Vlassak,Cynthia Friend,True,1,https://scholar.google.com/scholar?q=Cynthia+Friend+Joost+Vlassak+harvard
Joost J. Vlassak,David R. Nelson,False,1,https://scholar.google.com/scholar?q=David+Nelson+Joost+Vlassak+harvard
Joost J. Vlassak,L Mahadevan,False,1,https://scholar.google.com/scholar?q=Joost+Vlassak+L+Mahadevan+harvard
Krzysztof Z Gajos,Hanspeter Pfister,False,10,https://scholar.google.com/scholar?q=Hanspeter+Pfister+Krzysztof+Gajos+harvard
Krzysztof Z Gajos,David Parkes,False,4,https://scholar.google.com/scholar?q=David+Parkes+Krzysztof+Gajos+harvard
Krzysztof Z Gajos,Stuart M. Shieber,False,3,https://scholar.google.com/scholar?q=Krzysztof+Gajos+Stuart+Shieber+harvard
Krzysztof Z Gajos,Ariel Procaccia,False,1,https://scholar.google.com/scholar?q=Ariel+Procaccia+Krzysztof+Gajos+harvard
Krzysztof Z Gajos,Yiling Chen,False,1,https://scholar.google.com/scholar?q=Krzysztof+Gajos+Yiling+Chen+harvard
Krzysztof Z Gajos,Conor J Walsh,False,1,https://scholar.google.com/scholar?q=Conor+Walsh+Krzysztof+Gajos+harvard
Krzysztof Z Gajos,Radhika Nagpal,False,1,https://scholar.google.com/scholar?q=Krzysztof+Gajos+Radhika+Nagpal+harvard
Michael J. Aziz,David A. Weitz,False,2,https://scholar.google.com/scholar?q=David+Weitz+Michael+Aziz+harvard
Michael J. Aziz,Cynthia Friend,True,1,https://scholar.google.com/scholar?q=Cynthia+Friend+Michael+Aziz+harvard
Michael J. Aziz,Joanna Aizenberg,True,1,https://scholar.google.com/scholar?q=Joanna+Aizenberg+Michael+Aziz+harvard
Philip Kim,Radhika Nagpal,False,1,https://scholar.google.com/scholar?q=Philip+Kim+Radhika+Nagpal+harvard
Steven C. Wofsy,David A. Weitz,False,1,https://scholar.google.com/scholar?q=David+Weitz+Steven+Wofsy+harvard
Steven C. Wofsy,Donald Elliot Ingber,False,1,https://scholar.google.com/scholar?q=Donald+Ingber+Steven+Wofsy+harvard
Steven C. Wofsy,Demba Ba,False,1,https://scholar.google.com/scholar?q=Demba+Ba+Steven+Wofsy+harvard
